n,Yaw,Pitch,Roll,Lift,Drag,Side
362,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
363,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
364,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
365,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
366,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
367,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
368,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
369,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
370,95.89048,5.2356,-0.09438,-9.15607,12.53208,-3.612
371,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
372,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
373,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
374,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
375,95.89048,5.2356,-0.09438,-9.15607,12.53208,-3.612
376,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
377,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
378,95.89048,5.2356,-0.09438,-9.15607,12.53208,-3.612
379,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
380,95.89048,5.2356,-0.09438,-9.15607,12.53208,-3.612
381,95.89048,5.2356,-0.09438,-9.15607,12.53208,-3.612
382,95.89048,5.2356,-0.09438,-9.15607,12.51464,-3.612
